Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Character/Assassin_Text_Battle_AllyND_0,Text,,,Meaningless. It is truly meaningless...!,,无意义。实在是太无意义了……！,
Character/Assassin_Text_Battle_Cri_0,Text,,,There is no world that can harbor the faithless.,,没有世界可容无信仰之人生存。,
Character/Assassin_Text_Battle_Cri_1,Text,,,Then perish...!,,那就去死吧……！,
Character/Assassin_Text_Battle_Healed_0,Text,,,Hah...,,哈……,
Character/Assassin_Text_Battle_Idle_0,Text,,,Shall I spread death and wither the verdant fields?,,要播撒死亡，令绿野枯萎吗。,
Character/Assassin_Text_Battle_Idle_1,Text,,,Get to work.,,快去干活。,
Character/Assassin_Text_Battle_Kill_0,Text,,,Can you hear the tolling of the bell...?,,能听到那钟声吗……,
Character/Assassin_Text_Battle_Kill_1,Text,,,Surrender your head...!,,交出首级来……！,
Character/Assassin_Text_Battle_ND_0,Text,,,I am but bones... destined to return to the earth...,,吾本为骸骨……唯有回归大地……,
Character/Assassin_Text_Battle_ND_1,Text,,,My fate ends here.,,吾之命运，将尽于此。,
Character/Assassin_Text_Battle_Start_0,Text,,,Ooooooooooh!,,噢噢噢噢噢噢噢噢噢！,
Character/Assassin_Text_Battle_Start_1,Text,,,Let corpses pile upon this ground.,,陆续曝尸于此吧。,
Character/Assassin_Text_Field_GetItem_0,Text,,,Like building a tower of corpses.,,犹如用尸体建造高塔。,
Character/Assassin_Text_Field_GetItem_1,Text,,,I hear the bell's toll... Today's heads feel particularly heavy...,,听到了钟声……今日仿佛有特别沉重的首级呢……,
Character/Assassin_Text_Field_Idle_0,Text,,,I am but a wraith lurking in darkness. I hold no individual desires. I merely obey your will.,,吾不过是潜藏于黑暗中的亡灵。没有身为个体的欲望。只会服从汝之意向。,
Character/Assassin_Text_Field_Idle_1,Text,,,"A master-servant bond is an exchange of purpose. You preserve life, I return it to the cycle. All is light and shadow, my contractor.",,主从乃是使命的交换。汝拯救生命，吾令生命回归。一切皆为光与影啊，契约者。,
Character/Assassin_Text_Field_Idle_2,Text,,,"...Perhaps due to the long passage of time. Even under the light, my heart remains undisturbed.",,……或许因为漫长的时光所致。即使在光之下，吾之心也不会被扰乱。,
Character/Assassin_Text_Field_Idle_3,Text,,,Though you are a heretic... you seem trustworthy. Your soul shines brightly. An unshakable spirit is precisely what we require...    ,,汝虽为异教徒……但似乎是值得信任之人。尤其是心灵很美。不会被任何事物所动摇的精神，才是吾等所必须的……,
Character/Assassin_Text_Field_Idle_4,Text,,,"A splendid journey. Splendid memories. A splendid... truly splendid end. I wish to truly vanish after this battle concludes, my contractor.",,美妙的旅程。美妙的回忆。美妙的……实为美妙的吾之终结。真希望在这次战斗结束后，能够真正消失，吾之契约者啊。,
Character/Assassin_Text_Field_Potion_P_0,Text,,,Ah... ahhh... ah...,,啊……啊啊啊……啊……,
Character/Assassin_Text_MasterTarget,Text,,,O Lord. My life has found salvation's light here.,,主啊。吾之人生，已在此获得了救济之光。,
Character/Assassin_Text_PharosLeader_0,Text,,,The oracle has descended...!,,神谕已降……！,
Character/Assassin_Text_PharosLeader_1,Text,,,Tch...!,,嘁……！,
Character/Assassin_Text_PharosLeader_2,Text,,,A push from behind.,,从背后推一把。,
Character/Assassin_Text_Witch_0,Text,,,I accept this duty.,,接下此任了。,
Character/Assassin_Text_Witch_1,Text,,,You've made your choice.,,已作出选择了吧。,
Character/Ruler_Text_Battle_AllyND_0,Text,,,"No matter the path of suffering, we must charge forward courageously.",,无论什么样的苦难之路，都只能勇往直前。,
Character/Ruler_Text_Battle_AllyND_1,Text,,,"As long as this banner stands, we shall not fall!",,只要这面旗帜还在，就不会溃败！,
Character/Ruler_Text_Battle_Cri_0,Text,,,Right there!,,就在那里！,
Character/Ruler_Text_Battle_Cri_1,Text,,,This is the spot.,,就是这呢。,
Character/Ruler_Text_Battle_Healed_0,Text,,,My deepest gratitude.,,万分感谢。,
Character/Ruler_Text_Battle_Idle_0,Text,,,"Now, prepare yourself!",,那么，觉悟吧！,
Character/Ruler_Text_Battle_Idle_1,Text,,,Leave it to me! Stay behind me!,,请交给我吧，站在我的背后！,
Character/Ruler_Text_Battle_Kill_0,Text,,,Let the Lord's divine work manifest here!,,将主之御业降临于此！,
Character/Ruler_Text_Battle_Kill_1,Text,,,Purge them!,,扫荡！,
